,model,data,series,metrics,values
296,model_SVC,val,SMOTE,fp,2.0
297,model_SVC,test,SMOTE,fp,0.0
298,model_SVC,train,SMOTE,fp,0.0
299,model_SVC,val,SMOTE,fp,0.0
300,model_SVC,test,SMOTE,fp,0.0
301,model_SVC,train,SMOTE,fp,0.0
302,model_SVC,val,SMOTE,fp,1.0
303,model_SVC,test,SMOTE,fp,1.0
304,model_SVC,train,SMOTE,fp,0.0
305,model_SVC,val,SMOTE,fp,1.0
306,model_SVC,test,SMOTE,fp,1.0
307,model_RandomForest,train,imbalanced,fp,31.0
308,model_RandomForest,val,imbalanced,fp,13.0
309,model_RandomForest,test,imbalanced,fp,9.0
310,model_RandomForest,train,imbalanced,fp,28.0
311,model_RandomForest,val,imbalanced,fp,11.0
312,model_RandomForest,test,imbalanced,fp,10.0
313,model_RandomForest,train,imbalanced,fp,23.0
314,model_RandomForest,val,imbalanced,fp,15.0
315,model_RandomForest,test,imbalanced,fp,7.0
316,model_RandomForest,train,imbalanced,fp,28.0
317,model_RandomForest,val,imbalanced,fp,13.0
318,model_RandomForest,test,imbalanced,fp,11.0
319,model_RandomForest,train,imbalanced,fp,23.0
320,model_RandomForest,val,imbalanced,fp,18.0
321,model_RandomForest,test,imbalanced,fp,10.0
322,model_RandomForest,train,SMOTE,fp,1.0
323,model_RandomForest,val,SMOTE,fp,6.0
324,model_RandomForest,test,SMOTE,fp,2.0
325,model_RandomForest,train,SMOTE,fp,0.0
326,model_RandomForest,val,SMOTE,fp,6.0
327,model_RandomForest,test,SMOTE,fp,1.0
328,model_RandomForest,train,SMOTE,fp,0.0
329,model_RandomForest,val,SMOTE,fp,2.0
330,model_RandomForest,test,SMOTE,fp,1.0
331,model_RandomForest,train,SMOTE,fp,2.0
332,model_RandomForest,val,SMOTE,fp,4.0
333,model_RandomForest,test,SMOTE,fp,2.0
334,model_RandomForest,train,SMOTE,fp,0.0
335,model_RandomForest,val,SMOTE,fp,3.0
336,model_RandomForest,test,SMOTE,fp,4.0
337,NN_weighted,train,imbalanced,fp,887.0
338,NN_weighted,val,imbalanced,fp,35.0
339,NN_weighted,test,imbalanced,fp,17.0
340,NN_weighted,train,imbalanced,fp,888.0
341,NN_weighted,val,imbalanced,fp,38.0
342,NN_weighted,test,imbalanced,fp,15.0
343,NN_weighted,train,imbalanced,fp,888.0
344,NN_weighted,val,imbalanced,fp,29.0
345,NN_weighted,test,imbalanced,fp,20.0
346,NN_weighted,train,imbalanced,fp,888.0
347,NN_weighted,val,imbalanced,fp,20.0
348,NN_weighted,test,imbalanced,fp,11.0
349,NN_weighted,train,imbalanced,fp,888.0
350,NN_weighted,val,imbalanced,fp,30.0
351,NN_weighted,test,imbalanced,fp,15.0
352,NN_weighted,train,imbalanced,fp,888.0
353,NN_weighted,val,imbalanced,fp,28.0
354,NN_weighted,test,imbalanced,fp,15.0
355,NN_weighted,train,SMOTE,fp,137.0
356,NN_weighted,val,SMOTE,fp,33.0
357,NN_weighted,test,SMOTE,fp,19.0
358,NN_weighted,train,SMOTE,fp,150.0
359,NN_weighted,val,SMOTE,fp,38.0
360,NN_weighted,test,SMOTE,fp,15.0
361,NN_weighted,train,SMOTE,fp,151.0
362,NN_weighted,val,SMOTE,fp,39.0
363,NN_weighted,test,SMOTE,fp,17.0
364,NN_weighted,train,SMOTE,fp,38.0
365,NN_weighted,val,SMOTE,fp,15.0
366,NN_weighted,test,SMOTE,fp,6.0
367,NN_weighted,train,SMOTE,fp,132.0
368,NN_weighted,val,SMOTE,fp,34.0
369,NN_weighted,test,SMOTE,fp,17.0
370,model_XGB,train,imbalanced,tn,888.0
371,model_XGB,val,imbalanced,tn,218.0
372,model_XGB,test,imbalanced,tn,122.0
373,model_XGB,train,imbalanced,tn,888.0
374,model_XGB,val,imbalanced,tn,216.0
375,model_XGB,test,imbalanced,tn,122.0
376,model_XGB,train,imbalanced,tn,888.0
377,model_XGB,val,imbalanced,tn,217.0
378,model_XGB,test,imbalanced,tn,122.0
379,model_XGB,train,imbalanced,tn,888.0
380,model_XGB,val,imbalanced,tn,218.0
381,model_XGB,test,imbalanced,tn,121.0
